 year month day hour minute second magnitude latitude longitude depth 
 2008  5 12 14 27 57.460    8.0    31.012540  103.346300    16.4 
 2008  5 12 15 31  6.420    5.2    30.952610  103.380500    13.0 
 2008  5 12 15 34 41.680    5.4    31.288290  103.553300    12.0 
 2008  5 12 15 44 15.370    4.6    31.242410  103.531100     8.2 
 2008  5 12 15 45 33.340    4.7    31.364130  103.772400    14.7 
 2008  5 12 16  8  2.820    4.5    30.891160  103.267500    18.1 
 2008  5 12 16 21 40.260    5.4    31.633990  103.987900     9.8 
 2008  5 12 16 31 39.040    4.0    31.206470  103.388900    16.5 
 2008  5 12 16 35  5.050    4.7    31.276380  103.498200     4.3 
 2008  5 12 16 36 25.650    4.6    31.011070  103.202600    17.4 
 2008  5 12 16 59 35.650    4.5    31.080500  103.378400    12.5 
 2008  5 12 17 19 10.540    4.3    31.004140  103.369200     9.5 
 2008  5 12 17 34 54.460    4.1    30.927800  103.213800    15.3 
 2008  5 12 17 42 23.940    5.4    31.575850  103.945300    17.6 
 2008  5 12 17 56 54.190    4.3    31.333870  103.716800    20.7 
 2008  5 12 18 23 39.650    5.2    30.986300  103.286600    16.0 
 2008  5 12 18 59 20.650    4.1    31.018070  103.358700     7.5 
 2008  5 12 19 25 50.950    4.2    31.343510  103.358100    13.5 
 2008  5 12 19 28 35.120    4.5    31.287460  103.764900    19.2 
 2008  5 12 19 41  7.710    4.8    32.391930  104.972300    18.0 
 2008  5 12 20 11 55.800    4.8    31.393410  103.762100    22.7 
 2008  5 12 20 13 46.300    4.8    31.365290  103.474600    13.1 
 2008  5 12 20 37 43.620    3.8    30.938220  103.259100    17.3 
 2008  5 12 20 54 56.700    4.4    31.300900  103.429200    13.4 
 2008  5 12 21  2  2.350    4.3    31.052520  103.253000    19.0 
 2008  5 12 21  5 57.140    3.3    30.952260  103.210400    19.8 
 2008  5 12 21  7 14.270    4.0    31.181770  103.425400    11.4 
 2008  5 12 21 14 14.380    3.2    31.029370  103.345000    14.7 
 2008  5 12 21 16 22.070    3.9    31.369570  103.704700    15.0 
